ProjectRegion,Site Code,siteid,sitename,stationid,habitatid,length,offshoreDepth,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
FKNMS,5P3,38,Cliff Green,382,P,26,20,24.5036,-81.7677,24,30.216,-81,46.062
FKNMS,5P3,38,Cliff Green,383,P,21,22,24.5036,-81.7677,24,30.216,-81,46.062
FKNMS,5P3,38,Cliff Green,384,P,20,21,24.5036,-81.7677,24,30.216,-81,46.062
FKNMS,9D4,73,Conch Deep,731,OD,22,54,24.9519,-80.4513,24,57.114,-80,27.078
FKNMS,9D4,73,Conch Deep,732,OD,24,54,24.9519,-80.4513,24,57.114,-80,27.078
FKNMS,9D4,73,Conch Deep,733,OD,24,53,24.9519,-80.4513,24,57.114,-80,27.078
FKNMS,9D4,73,Conch Deep,734,OD,21,52,24.9519,-80.4513,24,57.114,-80,27.078
FKNMS,9S4,53,Conch Shallow,531,OS,22,18,24.9553,-80.458,24,57.318,-80,27.48
FKNMS,9S4,53,Conch Shallow,532,OS,21,16,24.9553,-80.458,24,57.318,-80,27.48
FKNMS,9S4,53,Conch Shallow,533,OS,22,16,24.9562,-80.4571,24,57.372,-80,27.426
FKNMS,9S4,53,Conch Shallow,534,OS,23,17,24.9562,-80.4571,24,57.372,-80,27.426
FKNMS,3H1,18,Content Keys,181,BCP,23,18,24.8221,-81.4889,24,49.326,-81,29.334
FKNMS,3H1,18,Content Keys,182,BCP,23,18,24.8221,-81.4889,24,49.326,-81,29.334
FKNMS,3H1,18,Content Keys,183,BCP,24,18,24.8221,-81.4889,24,49.326,-81,29.334
FKNMS,3H1,18,Content Keys,184,BCP,22,18,24.8221,-81.4889,24,49.326,-81,29.334
SECREMP,DC1,91,Dade County 1,911,1R,22,25,25.8422,-80.104,25,50.532,-80,6.24
SECREMP,DC1,91,Dade County 1,912,1R,22,25,25.8422,-80.104,25,50.532,-80,6.24
SECREMP,DC1,91,Dade County 1,913,1R,22,25,25.8422,-80.104,25,50.532,-80,6.24
SECREMP,DC1,91,Dade County 1,914,1R,22,25,25.8422,-80.104,25,50.532,-80,6.24
SECREMP,DC2,92,Dade County 2,921,2R,22,45,25.842,-80.0951,25,50.52,-80,5.706
SECREMP,DC2,92,Dade County 2,922,2R,22,45,25.842,-80.0951,25,50.52,-80,5.706
SECREMP,DC2,92,Dade County 2,923,2R,22,45,25.842,-80.0951,25,50.52,-80,5.706
SECREMP,DC2,92,Dade County 2,924,2R,22,45,25.842,-80.0951,25,50.52,-80,5.706
SECREMP,DC3,93,Dade County 3,931,3R,22,55,25.8421,-80.0881,25,50.526,-80,5.286
SECREMP,DC3,93,Dade County 3,932,3R,22,55,25.8421,-80.0881,25,50.526,-80,5.286
SECREMP,DC3,93,Dade County 3,933,3R,22,55,25.8421,-80.0881,25,50.526,-80,5.286
SECREMP,DC3,93,Dade County 3,934,3R,22,55,25.8421,-80.0881,25,50.526,-80,5.286
SECREMP,DC4,99,Dade County 4,991,2R,22,41,25.6726,-80.0884,25,40.356,-80,5.304
SECREMP,DC4,99,Dade County 4,992,2R,22,41,25.6726,-80.0884,25,40.356,-80,5.304
SECREMP,DC4,99,Dade County 4,993,2R,22,41,25.6726,-80.0884,25,40.356,-80,5.304
SECREMP,DC4,99,Dade County 4,994,2R,22,41,25.6726,-80.0884,25,40.356,-80,5.304
SECREMP,DC5,0,Dade County 5,1,1R,22,24,25.6518,-80.0946,25,39.108,-80,5.676
SECREMP,DC5,0,Dade County 5,2,1R,22,24,25.6518,-80.0946,25,39.108,-80,5.676
SECREMP,DC5,0,Dade County 5,3,1R,22,24,25.6518,-80.0946,25,39.108,-80,5.676
SECREMP,DC5,0,Dade County 5,4,1R,22,24,25.6518,-80.0946,25,39.108,-80,5.676
SECREMP,DC6,4,Dade County 6,41,NS,22,20,25.9516,-80.1091,25,57.096,-80,6.546
SECREMP,DC6,4,Dade County 6,42,NS,22,20,25.9516,-80.1091,25,57.096,-80,6.546
SECREMP,DC6,4,Dade County 6,43,NS,22,20,25.9516,-80.1091,25,57.096,-80,6.546
SECREMP,DC6,4,Dade County 6,44,NS,22,20,25.9516,-80.1091,25,57.096,-80,6.546
SECREMP,DC7,5,Dade County 7,51,3R,22,60,25.9585,-80.0938,25,57.51,-80,5.628
SECREMP,DC7,5,Dade County 7,52,3R,22,60,25.9585,-80.0938,25,57.51,-80,5.628
SECREMP,DC7,5,Dade County 7,53,3R,22,60,25.9585,-80.0938,25,57.51,-80,5.628
SECREMP,DC7,5,Dade County 7,54,3R,22,60,25.9585,-80.0938,25,57.51,-80,5.628
SECREMP,DC8,6,Dade County 8,61,NS,22,15,25.6785,-80.1186,25,40.71,-80,7.116
SECREMP,DC8,6,Dade County 8,62,NS,22,15,25.6785,-80.1186,25,40.71,-80,7.116
SECREMP,DC8,6,Dade County 8,63,NS,22,15,25.6785,-80.1186,25,40.71,-80,7.116
SECREMP,DC8,6,Dade County 8,64,NS,22,15,25.6785,-80.1186,25,40.71,-80,7.116
NPSDT,1PB,28,Davis Rock,281,P,24,33,24.6871,-82.9072,24,41.226,-82,54.432
NPSDT,1PB,28,Davis Rock,282,P,20,29,24.6871,-82.9072,24,41.226,-82,54.432
NPSDT,1PB,28,Davis Rock,283,P,24,28,24.6871,-82.9072,24,41.226,-82,54.432
NPSDT,1PB,28,Davis Rock,284,P,20,30,24.6871,-82.9072,24,41.226,-82,54.432
FKNMS,9H3,12,Dove Key,121,HB,22,8,25.0447,-80.4684,25,2.682,-80,28.104
FKNMS,9H3,12,Dove Key,122,HB,22,8,25.0447,-80.4684,25,2.682,-80,28.104
FKNMS,9H3,12,Dove Key,123,HB,22,8,25.0447,-80.4684,25,2.682,-80,28.104
FKNMS,9H3,12,Dove Key,124,HB,22,8,25.0447,-80.4684,25,2.682,-80,28.104
FKNMS,7P2,35,Dustan Rocks,351,P,22,14,24.6895,-81.0302,24,41.37,-81,1.812
FKNMS,7P2,35,Dustan Rocks,352,P,22,15,24.6895,-81.0302,24,41.37,-81,1.812
FKNMS,7P2,35,Dustan Rocks,353,P,22,17,24.6895,-81.0302,24,41.37,-81,1.812
FKNMS,7P2,35,Dustan Rocks,354,P,22,21,24.6895,-81.0302,24,41.37,-81,1.812
FKNMS,5D3,78,Eastern Sambo Deep,781,OD,26,48,24.4884,-81.6659,24,29.304,-81,39.954
FKNMS,5D3,78,Eastern Sambo Deep,782,OD,22,48,24.4884,-81.6659,24,29.304,-81,39.954
FKNMS,5D3,78,Eastern Sambo Deep,783,OD,22,48,24.4884,-81.6659,24,29.304,-81,39.954
FKNMS,5D3,78,Eastern Sambo Deep,784,OD,23,46,24.4884,-81.6659,24,29.304,-81,39.954
FKNMS,5S3,58,Eastern Sambo Shallow,581,OS,24,8,24.4917,-81.663565,24,29.502,-81,39.8139
FKNMS,5S3,58,Eastern Sambo Shallow,582,OS,22,9,24.4917,-81.663565,24,29.502,-81,39.8139
FKNMS,5S3,58,Eastern Sambo Shallow,583,OS,24,5,24.4917,-81.663565,24,29.502,-81,39.8139
FKNMS,5S3,58,Eastern Sambo Shallow,584,OS,23,9,24.4917,-81.663565,24,29.502,-81,39.8139
FKNMS,9H2,11,El Radabob,111,HB,22,9,25.1201,-80.3782,25,7.206,-80,22.692
FKNMS,9H2,11,El Radabob,112,HB,22,9,25.1201,-80.3782,25,7.206,-80,22.692
FKNMS,9H2,11,El Radabob,113,HB,22,9,25.1201,-80.3782,25,7.206,-80,22.692
FKNMS,9H2,11,El Radabob,114,HB,22,9,25.1201,-80.3782,25,7.206,-80,22.692
FKNMS,9S2,51,Grecian Rocks,511,OS,23,11,25.1075,-80.3068,25,6.45,-80,18.408
FKNMS,9S2,51,Grecian Rocks,512,OS,23,11,25.1075,-80.3068,25,6.45,-80,18.408
FKNMS,9S2,51,Grecian Rocks,513,OS,22,21,25.1075,-80.3069,25,6.45,-80,18.414
FKNMS,9S2,51,Grecian Rocks,514,OS,23,14,25.1075,-80.3069,25,6.45,-80,18.414
FKNMS,5P4,40,Jaap Reef,401,P,24,9,24.5857,-81.5826,24,35.142,-81,34.956
FKNMS,5P4,40,Jaap Reef,402,P,22,9,24.5857,-81.5826,24,35.142,-81,34.956
FKNMS,5P4,40,Jaap Reef,403,P,25,6,24.5857,-81.5826,24,35.142,-81,34.956
FKNMS,5P4,40,Jaap Reef,404,P,22,9,24.5857,-81.5826,24,35.142,-81,34.956
NPSDT,1P7,47,Little Africa,471,P,-,2,24.635,-82.919,24,38.1,-82,55.14
NPSDT,1P6,46,Loggerhead Patch,461,P,22,7,24.635,-82.9163,24,38.1,-82,54.978
NPSDT,1P6,46,Loggerhead Patch,462,P,22,6,24.635,-82.9163,24,38.1,-82,54.978
FKNMS,7H2,14,Long Key,141,HB,22,12,24.7972,-80.784,24,47.832,-80,47.04
FKNMS,7H2,14,Long Key,142,HB,22,12,24.7972,-80.784,24,47.832,-80,47.04
FKNMS,7H2,14,Long Key,143,HB,22,12,24.7972,-80.784,24,47.832,-80,47.04
FKNMS,7H2,14,Long Key,144,HB,22,12,24.7972,-80.784,24,47.832,-80,47.04
FKNMS,5D2,77,Looe Key Deep,771,OD,23,41,24.5421,-81.4153,24,32.526,-81,24.918
FKNMS,5D2,77,Looe Key Deep,772,OD,22,41,24.5421,-81.4153,24,32.526,-81,24.918
FKNMS,5D2,77,Looe Key Deep,773,OD,22,41,24.5426,-81.4128,24,32.556,-81,24.768
FKNMS,5D2,77,Looe Key Deep,774,OD,21,41,24.5426,-81.4128,24,32.556,-81,24.768
FKNMS,5S2,57,Looe Key Shallow,571,OS,21,24,24.5453,-81.4079,24,32.718,-81,24.474
FKNMS,5S2,57,Looe Key Shallow,572,OS,23,24,24.5452,-81.4071,24,32.712,-81,24.426
FKNMS,5S2,57,Looe Key Shallow,573,OS,22,22,24.5453,-81.4063,24,32.718,-81,24.378
FKNMS,5S2,57,Looe Key Shallow,574,OS,22,25,24.5453,-81.4063,24,32.718,-81,24.378
SECREMP,MC1,94,Martin County 1,941,NS,22,15,27.1317,-80.134,27,7.902,-80,8.04
SECREMP,MC1,94,Martin County 1,942,NS,22,15,27.1317,-80.134,27,7.902,-80,8.04
SECREMP,MC1,94,Martin County 1,943,NS,22,15,27.1317,-80.134,27,7.902,-80,8.04
SECREMP,MC1,94,Martin County 1,944,NS,22,15,27.1317,-80.134,27,7.902,-80,8.04
SECREMP,MC2,95,Martin County 2,951,NS,22,15,27.112,-80.1254,27,6.72,-80,7.524
SECREMP,MC2,95,Martin County 2,952,NS,22,15,27.112,-80.1254,27,6.72,-80,7.524
SECREMP,MC2,95,Martin County 2,953,NS,22,15,27.112,-80.1254,27,6.72,-80,7.524
SECREMP,MC2,95,Martin County 2,954,NS,22,15,27.112,-80.1254,27,6.72,-80,7.524
SECREMP,MC3,96,Martin County 3,961,FT,22,15,27.1206,-80.12721667,27,7.236,-80,7.633
NPSDT,1P5,45,Mayer's Peak,451,P,21,31,24.608,-82.944,24,36.48,-82,56.64
NPSDT,1P5,45,Mayer's Peak,452,P,21,32,24.608,-82.944,24,36.48,-82,56.64
NPSDT,1P5,45,Mayer's Peak,453,P,22,30,24.608,-82.944,24,36.48,-82,56.64
NPSDT,1P5,45,Mayer's Peak,454,P,19,29,24.608,-82.944,24,36.48,-82,56.64
FKNMS,9D3,72,Molasses Deep,721,OD,22,44,25.0072,-80.3756,25,0.432,-80,22.536
FKNMS,9D3,72,Molasses Deep,722,OD,22,44,25.0072,-80.3756,25,0.432,-80,22.536
FKNMS,9D3,72,Molasses Deep,723,OD,22,47,25.0073,-80.3743,25,0.438,-80,22.458
FKNMS,9D3,72,Molasses Deep,724,OD,23,49,25.0073,-80.3743,25,0.438,-80,22.458
FKNMS,5H2,16,Molasses Keys,161,HB,22,14,24.6756,-81.1905,24,40.536,-81,11.43
FKNMS,5H2,16,Molasses Keys,162,HB,22,14,24.6756,-81.1905,24,40.536,-81,11.43
FKNMS,5H2,16,Molasses Keys,163,HB,22,14,24.6756,-81.1905,24,40.536,-81,11.43
FKNMS,5H2,16,Molasses Keys,164,HB,22,14,24.6756,-81.1905,24,40.536,-81,11.43
FKNMS,9S3,52,Molasses Shallow,521,OS,23,19,25.0088,-80.3765,25,0.528,-80,22.59
FKNMS,9S3,52,Molasses Shallow,522,OS,22,22,25.0091,-80.375,25,0.546,-80,22.5
FKNMS,9S3,52,Molasses Shallow,523,OS,21,23,25.0088,-80.3744,25,0.528,-80,22.464
FKNMS,9S3,52,Molasses Shallow,524,OS,23,28,25.0097,-80.3745,25,0.582,-80,22.47
FKNMS,5H1,15,Moser Channel,151,HB,22,12,24.6891,-81.1676,24,41.346,-81,10.056
FKNMS,5H1,15,Moser Channel,152,HB,22,12,24.6891,-81.1676,24,41.346,-81,10.056
FKNMS,5H1,15,Moser Channel,153,HB,22,12,24.6891,-81.1676,24,41.346,-81,10.056
FKNMS,5H1,15,Moser Channel,154,HB,22,12,24.6891,-81.1676,24,41.346,-81,10.056
SECREMP,PB1,84,Palm Beach 1,841,1R,22,25,26.7097,-80.0286,26,42.582,-80,1.716
SECREMP,PB1,84,Palm Beach 1,842,1R,22,25,26.7097,-80.0286,26,42.582,-80,1.716
SECREMP,PB1,84,Palm Beach 1,843,1R,22,25,26.7097,-80.0286,26,42.582,-80,1.716
SECREMP,PB1,84,Palm Beach 1,844,1R,22,25,26.7097,-80.0286,26,42.582,-80,1.716
SECREMP,PB2,85,Palm Beach 2,851,2R,22,55,26.6785,-80.0182,26,40.71,-80,1.092
SECREMP,PB2,85,Palm Beach 2,852,2R,22,55,26.6785,-80.0182,26,40.71,-80,1.092
SECREMP,PB2,85,Palm Beach 2,853,2R,22,55,26.6785,-80.0182,26,40.71,-80,1.092
SECREMP,PB2,85,Palm Beach 2,854,2R,22,55,26.6785,-80.0182,26,40.71,-80,1.092
SECREMP,PB3,86,Palm Beach 3,861,3R,22,55,26.7104,-80.0158,26,42.624,-80,0.948
SECREMP,PB3,86,Palm Beach 3,862,3R,22,55,26.7104,-80.0158,26,42.624,-80,0.948
SECREMP,PB3,86,Palm Beach 3,863,3R,22,55,26.7104,-80.0158,26,42.624,-80,0.948
SECREMP,PB3,86,Palm Beach 3,864,3R,22,55,26.7104,-80.0158,26,42.624,-80,0.948
SECREMP,PB4,97,Palm Beach 4,971,3R,22,55,26.4878,-80.03908333,26,29.268,-80,2.345
SECREMP,PB4,97,Palm Beach 4,972,3R,22,55,26.4878,-80.03908333,26,29.268,-80,2.345
SECREMP,PB4,97,Palm Beach 4,973,3R,22,55,26.4878,-80.03908333,26,29.268,-80,2.345
SECREMP,PB4,97,Palm Beach 4,974,3R,22,55,26.4878,-80.03908333,26,29.268,-80,2.345
SECREMP,PB5,98,Palm Beach 5,981,3R,22,55,26.4417,-80.04743333,26,26.502,-80,2.846
SECREMP,PB5,98,Palm Beach 5,982,3R,22,55,26.4417,-80.04743333,26,26.502,-80,2.846
SECREMP,PB5,98,Palm Beach 5,983,3R,22,55,26.4417,-80.04743333,26,26.502,-80,2.846
SECREMP,PB5,98,Palm Beach 5,984,3R,22,55,26.4417,-80.04743333,26,26.502,-80,2.846
NPSDT,1P2,42,Palmata Patch,421,P,20,9,24.6207,-82.8673,24,37.242,-82,52.038
NPSDT,1P2,42,Palmata Patch,422,P,25,9,24.6207,-82.8673,24,37.242,-82,52.038
FKNMS,9P3,32,Porter Patch,321,P,24,15,25.1032,-80.3243,25,6.192,-80,19.458
FKNMS,9P3,32,Porter Patch,322,P,23,14,25.1032,-80.3243,25,6.192,-80,19.458
FKNMS,9P3,32,Porter Patch,323,P,23,16,25.1032,-80.3243,25,6.192,-80,19.458
FKNMS,9P3,32,Porter Patch,324,P,25,17,25.1032,-80.3243,25,6.192,-80,19.458
NPSDT,1P3,43,Prolifera Patch,431,P,18,7,24.6206,-82.8696,24,37.236,-82,52.176
NPSDT,1P3,43,Prolifera Patch,432,P,22,5,24.6206,-82.8696,24,37.236,-82,52.176
NPSDT,1P3,43,Prolifera Patch,433,P,21,7,24.6206,-82.8696,24,37.236,-82,52.176
FKNMS,9H1,10,Rattlesnake,101,HB,23,6,25.1736,-80.3475,25,10.416,-80,20.85
FKNMS,9H1,10,Rattlesnake,102,HB,22,6,25.1736,-80.3475,25,10.416,-80,20.85
FKNMS,9H1,10,Rattlesnake,103,HB,23,6,25.1736,-80.3475,25,10.416,-80,20.85
FKNMS,9H1,10,Rattlesnake,104,HB,25,6,25.1736,-80.3475,25,10.416,-80,20.85
